gene,viewField,nucleusIDX,nascentRNA,PCNA,Ratio
APEX1,0,1,33236047,21828922,0.6065079163040294
APEX1,0,2,39252097,35907190,0.12849697446393277
APEX1,0,3,32365144,34919788,-0.10960387753985815
APEX1,0,4,22076225,16242736,0.4426988275292978
APEX1,0,5,29677365,20302635,0.5476960220022992
APEX1,0,6,6273607,11136332,-0.8279070652215162
APEX1,0,7,15850323,9354608,0.7607631356391955
APEX1,0,8,6452756,6190102,0.05995229120520583
APEX1,0,9,8631322,7647256,0.17463937333174853
APEX1,0,10,17287479,8233757,1.0701047222158317
APEX1,0,11,22597174,9406755,1.2643733258615175
APEX1,0,12,15713563,6063640,1.3737543362406708
APEX1,0,13,10474284,12565293,-0.26259268496067845
APEX1,0,14,12121656,13427770,-0.14763292484141918
APEX1,0,15,9355549,5475889,0.7727291133407678
APEX1,0,16,6982680,10795550,-0.6285839821105595
APEX1,0,17,13029402,14072848,-0.11114345307812719
APEX1,0,18,20702259,8028709,1.3665482719813975
APEX1,0,19,15851293,18274340,-0.2052187757217466
APEX1,0,20,27332919,28252729,-0.04775068799285441
APEX1,0,21,10589993,9540392,0.15058118503066906
APEX1,0,22,17948463,13811756,0.3779635527647624
APEX1,0,23,8895525,6059554,0.5538681423695574
APEX1,0,24,10526495,8036383,0.3894069159655807
APEX1,0,25,8238098,7979282,0.04605235432428943
APEX1,0,26,12555551,9210142,0.4470300378653181
APEX1,0,27,14862618,20826402,-0.4867253546543422
APEX1,0,28,13556259,12898339,0.07177381298094469
APEX1,0,29,16170284,7764763,1.0583312214693859
APEX1,0,30,15415851,5676816,1.4412606465442441
APEX1,0,31,13420586,7381276,0.8625055257112826
APEX1,0,32,15780397,6776866,1.2194433506158755
APEX1,0,33,20788017,8754979,1.2475765206477372
APEX1,0,34,14337067,8162849,0.8126052403825508
APEX1,0,35,14731561,10727981,0.45753172348525545
APEX1,0,36,10162715,10032923,0.018543890795126642
APEX1,0,37,12043816,9083165,0.40702557976076564
APEX1,0,38,7051806,7702811,-0.1273922413886521
APEX1,0,39,7944226,8402211,-0.08086235014718046
APEX1,0,40,5533479,9792033,-0.8234216054260968
APEX1,0,41,7681063,8468518,-0.14080353576855978
APEX1,0,42,5669660,7252251,-0.35516663578067187
APEX1,0,43,7772463,9687326,-0.3177266485937323
APEX1,0,44,12769831,12243749,0.060694057420794874
APEX1,0,45,10667296,11117339,-0.05961699101228176
APEX1,0,46,10992672,12450852,-0.17970236165581716
APEX1,0,47,19921723,17300783,0.20350509640786865
APEX1,0,48,13086519,11970119,0.12864389818943442
APEX1,0,49,20767046,13477434,0.6237501706070484
APEX1,0,50,7969559,10000670,-0.3275248581288156
APEX1,0,51,10977318,19114802,-0.8001646408486566
APEX1,0,52,17133100,13714982,0.32103348222005257
APEX1,0,53,22540831,18404898,0.29245094918445813
APEX1,0,54,10064418,11382558,-0.1775610634079044
APEX1,0,55,21218088,20564779,0.04511909031265306
APEX1,0,56,14665262,11456811,0.35619731934356236
APEX1,0,57,8896043,10213667,-0.19926526158876584
APEX1,0,58,22359354,19917124,0.16686916720424394
APEX1,0,59,13493543,6330654,1.0918427537450488
APEX1,0,60,23934020,18419781,0.37780682605543453
APEX1,0,61,15144222,13756444,0.13865987901608356
APEX1,0,62,6642714,8352542,-0.33044253107539445
APEX1,0,63,6894874,7026454,-0.027272608842614364
APEX1,0,64,5467435,5994265,-0.13271870146532516
APEX1,0,65,9225761,9610791,-0.05898725564517179
APEX1,0,66,5398578,6713627,-0.31451293753272647
APEX1,0,67,22144825,21554481,0.038981771363465055
APEX1,0,68,7166741,7702552,-0.10401929927459852
