MAF	Feature	Enrichment
0.1	exons	.00219421683551394493
0.1	introns	.00250526845287290494
0.1	cCREs	.00250643113603454555
0.1	other	.00218514926189788276
0.2	exons	.00055148656614252164
0.2	introns	.00069815081015182146
0.2	cCREs	.00065883082369668757
0.2	other	.00060344518208797785
0.3	exons	.00039337657447245028
0.3	introns	.00048973507618846049
0.3	cCREs	.00046522971916711832
0.3	other	.00044010199117309758
0.4	exons	.00032672900937310201
0.4	introns	.00041439236937445112
0.4	cCREs	.00040148461686104833
0.4	other	.00038065120543578528
0.5	exons	.00028740491195944790
0.5	introns	.00038414305818785332
0.5	cCREs	.00035145237848748688
0.5	other	.00036746359161338918
